Declaration date,,Declaration date,,
1/12/10,,40190.00 ,,
4/20/09,,39923.00 ,,
8/1/06,,38930.00 ,,
11/23/09,,40140.00 ,,
1/8/08,,39455.00 ,,
4/27/11,,40660.00 ,,
7/13/10,,40372.00 ,,
12/11/08,,39793.00 ,,
6/7/07,,39240.00 ,,
6/3/10,,40332.00 ,,
10/20/08,,39741.00 ,,
4/8/10,,40276.00 ,,
4/19/10,,40287.00 ,,
3/30/11,,40632.00 ,,
10/19/06,,39009.00 ,,
1/16/09,,39829.00 ,,
4/20/09,,39923.00 ,,
4/21/09,,39924.00 ,,
7/9/09,,40003.00 ,,
3/30/11,,40632.00 ,,
1/24/07,,39106.00 ,,
6/13/08,,39612.00 ,,
1/27/11,,40570.00 ,,
4/27/11,,40660.00 ,,
4/21/09,,39924.00 ,,
1/8/08,,39455.00 ,,
12/1/10,,40513.00 ,,
1/21/11,,40564.00 ,,
7/26/10,,40385.00 ,,
5/11/10,,40309.00 ,,
3/30/09,,39902.00 ,,
12/13/10,,40525.00 ,,
1/25/10,,40203.00 ,,
11/8/10,,40490.00 ,,
9/3/10,,40424.00 ,,
12/16/08,,39798.00 ,,
10/17/08,,39738.00 ,,
10/23/06,,39013.00 ,,
1/16/07,,39098.00 ,,
5/5/10,,40303.00 ,,
5/11/10,,40309.00 ,,
7/26/10,,40385.00 ,,
4/15/10,,40283.00 ,,
8/29/06,,38958.00 ,,
4/21/09,,39924.00 ,,
2/4/10,,40213.00 ,,
8/30/10,,40420.00 ,,
12/31/08,,39813.00 ,,
6/22/10,,40351.00 ,,
2/10/10,,40219.00 ,,
12/8/10,,40520.00 ,,
5/28/07,,39230.00 ,,
6/26/09,,39990.00 ,,
3/14/07,,39155.00 ,,
12/9/10,,40521.00 ,,
12/29/09,,40176.00 ,,
12/9/09,,40156.00 ,,
12/1/10,,40513.00 ,,
11/23/09,,40140.00 ,,
1/11/10,,40189.00 ,,
9/3/10,,40424.00 ,,
5/31/11,,40694.00 ,,
1/30/11,,40573.00 ,,
1/25/11,,40568.00 ,,
7/25/07,,39288.00 ,,
9/29/10,,40450.00 ,,
12/11/08,,39793.00 ,,
6/8/10,,40337.00 ,,
9/10/09,,40066.00 ,,
10/17/08,,39738.00 ,,
1/25/11,,40568.00 ,,
7/18/08,,39647.00 ,,
11/18/09,,40135.00 ,,
7/16/10,,40375.00 ,,
9/10/09,,40066.00 ,,
1/15/09,,39828.00 ,,
9/16/08,,39707.00 ,,
9/10/09,,40066.00 ,,
7/9/09,,40003.00 ,,
12/14/10,,40526.00 ,,
1/26/11,,40569.00 ,,
1/20/11,,40563.00 ,,
2/28/11,,40602.00 ,,
1/20/11,,40563.00 ,,
4/21/09,,39924.00 ,,
2/4/10,,40213.00 ,,
12/25/06,,39076.00 ,,
3/10/10,,40247.00 ,,
8/5/10,,40395.00 ,,
2/28/11,,40602.00 ,,
12/1/10,,40513.00 ,,
3/25/11,,40627.00 ,,
7/25/07,,39288.00 ,,
4/27/11,,40660.00 ,,
9/8/08,,39699.00 ,,
12/22/09,,40169.00 ,,
5/30/08,,39598.00 ,,
1/16/09,,39829.00 ,,
11/30/09,,40147.00 ,,
3/30/10,,40267.00 ,,
1/13/11,,40556.00 ,,
1/20/11,,40563.00 ,,
