time,amount,internalization,outsourcing,if the sitting date time after 2006,year,if the buyer is a bank,export,export to OECD,if the buyer is a chinese organization,classification of the buyer,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,if the seller belongs to IT industry,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Turnover,money,installment,paystyle,payment method
14d,5,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2520,2520,0,2,One time payment
13d,5,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2520,2520,0,2,One time payment
30d,20,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2700,2700,0,2,One time payment
29d,20,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2700,2700,0,2,One time payment
30d,20,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2700,2700,0,2,One time payment
29d,20,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2700,2700,0,2,One time payment
14d,2,0,1,1,2008,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2700,2700,0,2,One time payment
90d,2,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2700,2700,0,2,One time payment
364d,2,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2700,2700,1,3,commission payment
14d,1,0,1,1,2008,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2700,2700,0,2,One time payment
365d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2888,2888,1,3,commission payment
364d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2888,2888,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2888,2888,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2888,2888,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2888,2888,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2888,2888,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2888,2888,0,2,One time payment
365d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2888,2888,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2888,2888,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2888,2888,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2888,2888,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2888,2888,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2888,2888,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2888,2888,0,2,One time payment
14d,8,0,1,1,2008,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,3000,3000,0,2,One time payment
30d,2,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,3000,3000,0,2,One time payment
30d,2,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,3000,3000,0,2,One time payment
30d,2,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,3000,3000,0,2,One time payment
31d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,3000,3000,0,2,One time payment
31d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,3000,3000,0,2,One time payment
30d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,3200,3200,0,2,One time payment
29d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,3540,3540,0,2,One time payment
28d,1,0,1,1,2006,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,3600,3600,0,2,One time payment
40d,4,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,4200,4200,0,2,One time payment
24d,7,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,4500,4500,0,2,One time payment
